,lemma,buckwalter,frequency,part_of_speech
1205,سُكَٰرَىٰ,suka`raY`,3,Noun
1206,سَكَن,sakan,3,Noun
1207,سِلْسِلَة,silosilap,3,Noun
1208,سَّلْوَىٰ,s~alowaY`,3,Noun
1209,سَمُوم,samuwm,3,Noun
1210,سَمِين,samiyn,3,Adjective
1211,سُندُس,sundus,3,Noun
1212,سَيَّارَة,say~aArap,3,Noun
1213,سَيِّد,say~id,3,Noun
1214,شَتَّىٰ,$at~aY`,3,"Noun (2), Adjective (1)"
1215,شِرْب,$irob,3,Noun
1216,شَهَٰدَٰت,$aha`da`t,3,Noun
1217,شَّهَوَٰت,$~ahawa`t,3,Noun
1218,صَٰٓفَّٰت,Sa`^f~a`t,3,Noun
1219,صَّٰبِـِٔين,S~a`bi_#iyn,3,Proper noun
1220,صَرْصَر,SaroSar,3,Adjective
1221,صَغِير,Sagiyr,3,Noun
1222,صُورَة,Suwrap,3,Noun
1223,ضَرْب,Darob,3,Noun
1224,ضِغْث,Digov,3,Noun
1225,ضِيَآء,DiyaA^',3,Noun
1226,طَاعَة,TaAEap,3,Noun
1227,طَوْل,Tawol,3,Noun
1228,عَاجِلَةٌ,EaAjilapN,3,Noun
1229,عَاصِم,EaASim,3,Noun
1230,عَاقِر,EaAqir,3,Noun
1231,عَشْرَة,Ea$orap,3,Noun
1232,عَشِيرَت,Ea$iyrat,3,Noun
1233,عُلْيَا,EuloyaA,3,"Adjective (2), Noun (1)"
1234,عَمَّٰت,Eam~a`t,3,Noun
1235,عَمَد,Eamad,3,Noun
1236,عِمْرَٰن,Eimora`n,3,Proper noun
1237,عِير,Eiyr,3,Noun
1238,غَآئِبِين,gaA^}ibiyn,3,Noun
1239,غَٰشِيَة,ga`$iyap,3,Noun
1240,غَرُور,garuwr,3,Noun
1241,غَمْرَة,gamorap,3,Noun
1242,غَنَم,ganam,3,Noun
1243,غَيْث,gayov,3,Noun
1244,فَٰكِهِين,fa`kihiyn,3,Noun
1245,فَتَىٰ,fataY`,3,Noun
1246,فَتِيل,fatiyl,3,Noun
1247,فِتْيَة,fitoyap,3,Noun
1248,فَجّ,faj~,3,"Noun (2), Adjective (1)"
1249,فِدْيَة,fidoyap,3,Noun
1250,فُرَات,furaAt,3,Adjective
1251,فِرَٰش,fira`$,3,Noun
1252,فَرْد,farod,3,Noun
1253,فِسْق,fisoq,3,Noun
1254,فِصَال,fiSaAl,3,Noun
1255,فَوَٰكِه,fawa`kih,3,Noun
1256,قَٰسِيَة,qa`siyap,3,Noun
1257,قَٰصِرَٰت,qa`Sira`t,3,Noun
1258,قَٰنِتَٰت,qa`nita`t,3,"Noun (2), Adjective (1)"
1259,قَاهِر,qaAhir,3,Noun
1260,قُبُل,qubul,3,Noun
1261,قَدِيم,qadiym,3,Adjective
1262,قُرْبَان,qurobaAn,3,Noun
1263,قَرْح,qaroH,3,Noun
1264,قِرَدَة,qiradap,3,Noun
1265,قُرَّة,qur~ap,3,Noun
1266,قِسْمَة,qisomap,3,Noun
1267,قِنطَار,qinTaAr,3,Noun
1268,قَوَارِيرَا,qawaAriyraA,3,Noun
1269,قَوَاعِد,qawaAEid,3,Noun
1270,قَوَّٰمِين,qaw~a`miyn,3,Noun
1271,قَيُّوم,qay~uwm,3,Adjective
1272,كَاشِف,kaA$if,3,Noun
1273,كُرْه,kuroh,3,Noun
1274,كَظِيم,kaZiym,3,Noun
1275,كُفُور,kufuwr,3,Noun
1276,لَٰعِبِين,la`Eibiyn,3,Noun
1277,لَّمَّا,l~am~aA,3,"Exceptive particle (2), Negative particle (1)"
1278,لَهَب,lahab,3,Noun
1279,مَٰلِك,ma`lik,3,Noun
1280,مُبَدِّل,mubad~il,3,Noun
1281,مُبْصِرَة,muboSirap,3,Noun
1282,مُّبَيِّنَٰت,m~ubay~ina`t,3,"Adjective (2), Noun (1)"
1283,مُّبَيِّنَة,m~ubay~inap,3,"Adjective (2), Noun (1)"
1284,مُتَّخِذ,mut~axi*,3,Noun
1285,مُّتَرَبِّص,m~utarab~iS,3,Noun
1286,مَتِين,matiyn,3,"Noun (2), Adjective (1)"
1287,مَثْنَىٰ,mavonaY`,3,Noun
1288,مَحِلّ,maHil~,3,Noun
1289,مَحِيض,maHiyD,3,Noun
1290,مُخْتَال,muxotaAl,3,"Adjective (2), Noun (1)"
1291,مُخْرِج,muxorij,3,Noun
1292,مَدَآئِن,madaA^}in,3,Noun
1293,مَّدْحُور,m~adoHuwr,3,Noun
1294,مُّدْخَل,m~udoxal,3,Noun
1295,مِّدْرَار,m~idoraAr,3,Noun
1296,مَذْمُوم,ma*omuwm,3,Noun
1297,مُرْسَىٰ,murosaY`,3,Noun
1298,مَّرْفُوعَة,m~arofuwEap,3,"Adjective (2), Noun (1)"
1299,مِزَاج,mizaAj,3,Noun
1300,مُّسْتَقِرّ,m~usotaqir~,3,Noun
1301,مُسَخَّرَٰت,musax~ara`t,3,Noun
1302,مَسْطُور,masoTuwr,3,Noun
1303,مُّسَلَّمَة,m~usal~amap,3,Adjective
1304,مَّسْنُون,m~asonuwn,3,Noun
1305,مُّسَوَّمَة,m~usaw~amap,3,"Noun (2), Adjective (1)"
1306,مَشْحُون,ma$oHuwn,3,Noun
1307,مَّشْرَب,m~a$orab,3,Noun
1308,مُشْرِكَٰت,mu$orika`t,3,Noun
1309,مَشْهُود,ma$ohuwd,3,Noun
1310,مَشْـَٔمَة,ma$o_#amap,3,Noun
1311,مُصْفَرّ,muSofar~,3,Noun
1312,مُصَلِّين,muSal~iyn,3,Noun
1313,مَضَاجِع,maDaAjiE,3,Noun
1314,مُضْغَة,muDogap,3,Noun
1315,مُّضِلّ,m~uDil~,3,Noun
1316,مُعَٰجِزِين,muEa`jiziyn,3,Noun
1317,مُعْتَد,muEotad,3,"Noun (2), Adjective (1)"
1318,مَعْذِرَة,maEo*irap,3,Noun
1319,مَعْشَر,maEo$ar,3,Noun
1320,مَعِيشَة,maEiy$ap,3,Noun
1321,مَّغْرَم,m~agoram,3,Noun
1322,مَفَاتِح,mafaAtiH,3,Noun
1323,مُقَام,muqaAm,3,Noun
1324,مِقْدَار,miqodaAr,3,Noun
1325,مُّقَرَّنِين,m~uqar~aniyn,3,"Noun (2), Adjective (1)"
1326,مُقْسِطِين,muqosiTiyn,3,Noun
1327,مَّلْجَإ,m~aloja<,3,Noun
1328,مُّلْقُون,m~uloquwn,3,Noun
1329,مَمَات,mamaAt,3,Noun
1330,مُنتَقِمُون,muntaqimuwn,3,Noun
1331,مُنتَهَىٰ,muntahaY`,3,Noun
1332,مُنقَلِبُون,munqalibuwn,3,Noun
1333,مُنكِرُون,munkiruwn,3,Noun
1334,مُّهْتَد,m~uhotad,3,Noun
1335,مُهْطِعِين,muhoTiEiyn,3,Noun
1336,مُهْل,muhol,3,Noun
1337,مَّوَاضِع,m~awaADiE,3,Noun
1338,مَوْتَت,mawotat,3,Noun
1339,مُؤْتَفِكَة,mu&otafikap,3,Noun
1340,مَّوْثِق,m~awoviq,3,Noun
1341,مَوْلُود,mawoluwd,3,Noun
1342,مَيْسِر,mayosir,3,Noun
1343,مَيْمَنَة,mayomanap,3,Noun
1344,نَاصِيَة,naASiyap,3,Noun
1345,نَسَب,nasab,3,Noun
1346,نَّشْأَة,n~a$o>ap,3,Noun
1347,نُصُب,nuSub,3,Noun
1348,نِفَاق,nifaAq,3,Noun
1349,نَفَر,nafar,3,Noun
1350,نَكَٰل,naka`l,3,Noun
1351,نُّكْر,n~ukor,3,Adjective
1352,نَوْم,nawom,3,Noun
1353,هُود,huwd2,3,Proper noun
1354,هَيِّن,hay~in,3,Noun
1355,وَابِل,waAbil,3,Noun
1356,وَارِد,waArid,3,Noun
1357,وَاق,waAq,3,Noun
1358,وَزْن,wazon,3,Noun
1359,وِعَآء,wiEaA^',3,Noun
1360,وَقْت,waqot,3,Noun
1361,وَهَّاب,wah~aAb,3,"Noun (2), Adjective (1)"
1362,يَـُٔوس,ya_#uws,3,Noun
1363,ءَاكِلُون,'aAkiluwn,3,Noun
1364,ءَانَآء,'aAnaA^',3,"Noun (2), Time adverb (1)"
1365,أَبْرَص,>aboraS,2,Noun
1366,إِبْكَٰر,<iboka`r,2,Noun
1367,إِبِل,<ibil,2,Noun
1368,ٱبْنَت,{bonat,2,Noun
1369,ٱتِّبَاع,{t~ibaAE,2,Noun
1370,أَتْقَى,>atoqaY,2,Noun
1371,أَثَٰث,>ava`v,2,Noun
1372,أَحْكَم,>aHokam,2,Noun
1373,أَخْدَان,>axodaAn,2,Noun
1374,إِدْرِيس,<idoriys,2,Proper noun
1375,أَذَلّ,>a*al~,2,Noun
1376,أَزْلَٰم,>azola`m,2,Noun
1377,ٱسْتِكْبَار,{sotikobaAr,2,Noun
1378,إِسْرَار,<isoraAr,2,Noun
1379,إِسْرَاف,<isoraAf,2,Noun
1380,أَسْرَع,>asoraE,2,Noun
1381,أَسِف,>asif,2,Noun
1382,أَسَف,>asaf,2,Noun
1383,أَسْفَار,>asofaAr,2,Noun
1384,أَسْوَأ,>asowa>,2,Noun
1385,أَشْتَات,>a$otaAt,2,Noun
1386,أَشِر,>a$ir,2,Adjective
1387,أَصَٰبِع,>aSa`biE,2,Noun
1388,أَصْدَق,>aSodaq,2,Noun
1389,أَصْغَر,>aSogar,2,Noun
1390,أَصْفَاد,>aSofaAd,2,Noun
1391,أَضْعَف,>aDoEaf,2,Noun
1392,أَضْغَٰن,>aDoga`n,2,Noun
1393,أَعْجَاز,>aEojaAz,2,Noun
1394,إِعْرَاض,<iEoraAD,2,Noun
1395,أَعْرَاف,>aEoraAf,2,Noun
1396,أَعْرَج,>aEoraj,2,Noun
1397,أَعْلَٰم,>aEola`m,2,Noun
1398,أَعْلَوْن,>aEolawon,2,Noun
1399,أَفَّاك,>af~aAk,2,Noun
1400,ٱفْتِرَآء,{fotiraA^',2,Noun
1401,إِقَام,<iqaAm,2,Noun
1402,أَقْسَط,>aqosaT,2,Noun
1403,أَقْطَار,>aqoTaAr,2,Noun
1404,أَقَلّ,>aqal~,2,Noun
1405,إِكْرَام,<ikoraAm,2,Noun
1406,إِكْرَاه,<ikoraAh,2,Noun
1407,أَكْرَم,>akoram,2,"Noun (1), Adjective (1)"
1408,أَكْمَام,>akomaAm,2,Noun
1409,أَكْمَه,>akomah,2,Noun
1410,إِلّ,<il~,2,Noun
1411,إِلَٰف,<ila`f,2,Noun
1412,ٱلْيَسَعَ,{loyasaEa,2,Proper noun
1413,أَمَٰنَت,>ama`nat,2,Noun
1414,أَمَل,>amal,2,Noun
1415,إِمْلَٰق,<imola`q,2,Noun
1416,أَمَنَة,>amanap,2,Noun
1417,أَمَة,>amap,2,Noun
1418,أَنف,>anf,2,Noun
1419,أَنفَال,>anfaAl,2,Noun
1420,أَوَّٰه,>aw~a`h,2,Noun
1421,أَوْدِيَة,>awodiyap,2,Noun
1422,أَوْسَط,>awosaT,2,Noun
1423,أَوْفَىٰ,>awofaY`2,2,"Noun (1), Adjective (1)"
1424,أَيَّتُهَا,>ay~atuhaA,2,Noun
1425,أَيْيد,>ayoyd,2,Noun
1426,بَٰخِع,ba`xiE,2,Noun
1427,بَارِد,baArid,2,Noun
1428,بَٰقِيَٰت,ba`qiya`t,2,Noun
1429,بَاقِين,baAqiyn,2,Noun
1430,بَاقِيَة,baAqiyap,2,Noun
1431,بَخْس,baxos,2,"Adjective (1), Noun (1)"
1432,بُخْل,buxol,2,Noun
1433,بَدِيع,badiyE,2,Noun
1434,بَرَآءَة,baraA^'ap,2,Noun
1435,بَرْد,barod,2,Noun
1436,بَرِيَّة,bariy~ap,2,Noun
1437,بَصطَة,baSTap,2,Noun
1438,بِضْع,biDoE,2,Noun
1439,بِطَانَة,biTaAnap,2,Noun
1440,بَطْشَة,baTo$ap,2,Noun
1441,بَعِير,baEiyr,2,Noun
1442,بَغِيّ,bagiy~,2,Noun
1443,بَقَرَٰت,baqara`t,2,Noun
1444,بِنَآء,binaA^',2,Noun
1445,بَنَان,banaAn,2,Noun
1446,بَهِيج,bahiyj,2,Adjective
1447,بُور,buwr,2,Adjective
1448,تَّابُوت,t~aAbuwt,2,Noun
1449,تَأْثِيم,ta>oviym,2,Noun
1450,تَارَة,taArap,2,Noun
1451,تُبَّع,tub~aE,2,Proper noun
1452,تَبَع,tabaE,2,Noun
1453,تَتْبِير,tatobiyr,2,Noun
1454,تَثْبِيت,tavobiyt,2,Noun
1455,تَدْمِير,tadomiyr,2,Noun
1456,تَرَاض,taraAD,2,Noun
1457,تَرْتِيل,tarotiyl,2,Noun
1458,تَسْبِيح,tasobiyH,2,Noun
1459,تِسْعَة,tisoEap,2,Noun
1460,تَصْدِيق,taSodiyq,2,Noun
1461,تَصْرِيف,taSoriyf,2,Noun
1462,تَفْجِير,tafojiyr,2,Noun
1463,تَفْضِيل,tafoDiyl,2,Noun
1464,تَّكَاثُر,t~akaAvur,2,Noun
1465,تِلْكُم,tilokum,2,Demonstrative pronoun
1466,تَّمَاثِيل,t~amaAviyl,2,Noun
1467,تَّنُّور,t~an~uwr,2,Noun
1468,تَوْفِيق,tawofiyq,2,Noun
1469,ثَابِت,vaAbit,2,Noun
1470,ثَاقِب,vaAqib,2,"Noun (1), Adjective (1)"
1471,ثَالِث,vaAliv,2,Noun
1472,ثَانِى,vaAniY,2,Noun
1473,ثُعْبَان,vuEobaAn,2,Noun
1474,ثُلَٰث,vula`v,2,Noun
1475,جَارِيَة,jaAriyap,2,"Noun (1), Adjective (1)"
1476,جُبّ,jub~,2,Noun
1477,جِبِلَّة,jibil~ap,2,Noun
1478,جِثِيّ,jiviy~,2,Noun
1479,جِدَار,jidaAr,2,Noun
1480,جِدَال,jidaAl,2,Noun
1481,جَدَل,jadal,2,Noun
1482,جَرَاد,jaraAd,2,Noun
1483,جُرُز,juruz,2,Adjective
1484,جِسْم,jisom,2,Noun
1485,جَلَٰل,jala`l,2,Noun
1486,جَلْدَة,jalodap,2,Noun
1487,جُنَّة,jun~ap,2,Noun
1488,جَهَاز,jahaAz,2,Noun
1489,حَٰسِبِين,Ha`sibiyn,2,Noun
1490,حَٰش,Ha`$,2,Noun
1491,حَاضِرَة,HaADirap,2,"Adjective (1), Noun (1)"
1492,حَٰفِظَٰت,Ha`fiZa`t,2,Noun
1493,حَامِيَة,HaAmiyap,2,Adjective
1494,حَجَر,Hajar,2,Noun
1495,حَذَر,Ha*ar,2,Noun
1496,حُرّ,Hur~,2,Noun
1497,حُرُمَٰت,Huruma`t,2,Noun
1498,حُزْن,Huzon,2,Noun
1499,حَشْر,Ha$or,2,Noun
1500,حَطَب,HaTab,2,Noun
1501,حُطَمَة,HuTamap,2,Noun
1502,حِطَّة,HiT~ap,2,Noun
1503,حَفِيّ,Hafiy~,2,Noun
1504,حَمِيَّة,Hamiy~ap,2,Noun
1505,حَنَاجِر,HanaAjir,2,Noun
1506,حَيْث,Hayov2,2,Conditional particle
1507,خَآئِنَة,xaA^}inap,2,Noun
1508,خَاطِئَة,xaATi}ap,2,"Noun (1), Adjective (1)"
1509,خَال,xaAl,2,Noun
1510,خَالِص,xaAliS,2,Noun
1511,خَٰمِدِين,xa`midiyn,2,Noun
1512,خَٰمِسَة,xa`misap,2,Noun
1513,خَبَال,xabaAl,2,Noun
1514,خُبْر,xubor,2,Noun
1515,خَبَر,xabar,2,Noun
1516,خَبِيثَٰت,xabiyva`t,2,Noun
1517,خَرْج,xaroj,2,Noun
1518,خَرْدَل,xarodal,2,Noun
1519,خُسْر,xusor,2,Noun
1520,خَطِيٓـَٰٔت,xaTiy^_#a`t,2,Noun
1521,خَطَـٔ,xaTa_#,2,Noun
1522,خَفِىّ,xafiY~,2,Adjective
1523,خَفِيف,xafiyf,2,"Adjective (1), Noun (1)"
1524,خُفْيَة,xufoyap,2,Noun
1525,خَلَّٰق,xal~a`q,2,Noun
1526,خُلُق,xuluq,2,Noun
1527,خَمْسِين,xamosiyn,2,Noun
1528,خُوَار,xuwaAr,2,Noun
1529,خَوَالِف,xawaAlif,2,Noun
1530,خَوَّان,xaw~aAn,2,"Noun (1), Adjective (1)"
1531,خَوْض,xawoD,2,Noun
1532,خِيَانَة,xiyaAnap,2,Noun
1533,خِيَرَة,xiyarap,2,Noun
1534,خَيْط,xayoT,2,Noun
1535,دَآئِم,daA^}im,2,Noun
1536,دَٰخِلُون,da`xiluwn,2,Noun
1537,دَافِع,daAfiE,2,Noun
1538,دُخَان,duxaAn,2,Noun
1539,دَخَل,daxal,2,Noun
1540,دَفْع,dafoE,2,Noun
1541,دَّمْع,d~amoE,2,Noun
1542,دَّهْر,d~ahor,2,Noun
1543,دِيَة,diyap,2,Noun
1544,ذَآئِقُوا,*aA^}iquwA,2,Noun
1545,ذَّٰكِرِين,*~a`kiriyn,2,Noun
1546,ذُبَاب,*ubaAb,2,Noun
1547,ذِرَاع,*iraAE,2,Noun
1548,ذَلُول,*aluwl,2,"Adjective (1), Noun (1)"
1549,ذِمَّة,*im~ap,2,Noun
1550,ذَنُوب,*anuwb,2,Noun
1551,رَابِع,raAbiE,2,Noun
1552,رَّٰسِخُون,r~a`sixuwn,2,Noun
1553,رَٰعُون,ra`Euwn,2,Noun
1554,رَأْفَة,ra>ofap,2,Noun
1555,رَأْى,ra>oY,2,Noun
1556,رُبَٰع,ruba`E,2,Noun
1557,رُّبُع,r~ubuE,2,Noun
1558,رَبْوَة,rabowap,2,Noun
1559,رَدّ,rad~,2,Noun
1560,رَّسّ,r~as~,2,Noun
1561,رَّشَاد,r~a$aAd,2,Noun
1562,رَصَد,raSad,2,"Adjective (1), Noun (1)"
1563,رَّضَاعَة,r~aDaAEap,2,Noun
1564,رَعْد,raEod,2,Noun
1565,رُفَٰت,rufa`t,2,Noun
1566,رَفَث,rafav,2,Noun
1567,رُكْن,rukon,2,Noun
1568,رَمِيم,ramiym,2,Noun
1569,رَهَق,rahaq,2,Noun
1570,رَّيْحَان,r~ayoHaAn,2,Noun
1571,زُجَاجَة,zujaAjap,2,Noun
1572,زَجْرَة,zajorap,2,Noun
1573,زَعْم,zaEom,2,Noun
1574,زَعِيم,zaEiym,2,Noun
1575,زِلْزَال,zilozaAl,2,Noun
1576,زُلْفَة,zulofap,2,Noun
1577,زُمَر,zumar,2,Noun
1578,زِيَادَة,ziyaAdap,2,Noun
1579,سَآئِغ,saA^}ig,2,Noun
1580,سَادِس,saAdis,2,Noun
1581,سَاهُون,saAhuwn,2,Noun
1582,سَبَإ,saba<,2,Proper noun
1583,سُبَات,subaAt,2,Noun
1584,سَبْح,saboH,2,Noun
1585,سِجِّين,sij~iyn,2,Noun
1586,سِخْرِيّ,sixoriy~,2,Noun
1587,سِدْر,sidor,2,Noun
1588,سِدْرَة,sidorap,2,Noun
1589,سَدِيد,sadiyd,2,Adjective
1590,سَّرَّآء,s~ar~aA^',2,Noun
1591,سَرَاب,saraAb,2,Noun
1592,سَرَاح,saraAH,2,Noun
1593,سِرَاع,siraAE,2,Noun
1594,سَرْمَد,saromad,2,Noun
1595,سُعُر,suEur,2,Noun
1596,سَفَاهَة,safaAhap,2,Noun
1597,سِقَايَة,siqaAyap,2,Noun
1598,سَقِيم,saqiym,2,Noun
1599,سَكْرَة,sakorap,2,Noun
1600,سُلَٰلَة,sula`lap,2,Noun
1601,سُلَّم,sul~am,2,Noun
1602,سَّلْم,s~alom,2,Noun
1603,سَلِيم,saliym,2,Noun
1604,سَمِيّ,samiy~,2,Noun
1605,سِّنّ,s~in~,2,Noun
1606,سُنبُلَٰت,sunbula`t,2,Noun
1607,سُنبُلَة,sunbulap,2,Noun
1608,سَوْءَة,sawo'ap,2,Noun
1609,سَيْر,sayor,2,Noun
1610,سَيْل,sayol,2,Noun
1611,شَٰفِعِين,$a`fiEiyn,2,Noun
1612,شَطَط,$aTaT,2,Noun
1613,شِّعْر,$~iEor,2,Noun
1614,شَفَا,$afaA,2,Noun
1615,شُكُور,$ukuwr,2,Noun
1616,شَمَآئِل,$amaA^}il,2,Noun
1617,شَنَـَٔان,$ana_#aAn,2,Noun
1618,شَهْوَة,$ahowap,2,Noun
1619,شَهِيق,$ahiyq,2,Noun
1620,صَالُوا,SaAluwA,2,Noun
1621,صِبْغَة,Sibogap,2,Noun
1622,صَبِيّ,Sabiy~,2,Noun
1623,صَخْرَة,Saxorap,2,Noun
1624,صَدّ,Sad~,2,Noun
1625,صَدِيق,Sadiyq,2,Noun
1626,صَغِيرَة,Sagiyrap,2,"Adjective (1), Noun (1)"
1627,صَفْح,SafoH,2,Noun
1628,صُّلْب,S~ulob,2,Noun
1629,صُلْح,SuloH,2,Noun
1630,صُنْع,SunoE,2,Noun
1631,صِنْوَان,SinowaAn,2,Noun
1632,صَىٰحِب,SaY`Hib,2,Noun
1633,ضَآرّ,DaA^r~,2,Noun
1634,ضِرَار,DiraAr,2,Noun
1635,ضَيِّق,Day~iq,2,"Noun (1), Adjective (1)"
1636,ضَيْق,Dayoq,2,Noun
1637,طَارِد,TaArid,2,Noun
1638,طَّارِق,T~aAriq,2,Noun
1639,طَاقَة,TaAqap,2,Noun
1640,طَالُوت,TaAluwt,2,Proper noun
1641,طَرِيّ,Tariy~,2,Adjective
1642,طَّلَٰق,T~ala`q,2,Noun
1643,طُلُوع,TuluwE,2,Noun
1644,طَهُور,Tahuwr,2,Adjective
1645,طُّوفَان,T~uwfaAn,2,Noun
1646,طُوًى,TuwFY,2,Noun
1647,طَوِيل,Tawiyl,2,Adjective
1648,ظَالِمِىٓ,ZaAlimiY^,2,Noun
1649,ظَٰهِرَة,Za`hirap,2,Noun
1650,ظَلُوم,Zaluwm,2,Noun
1651,ظَلِيل,Zaliyl,2,Adjective
1652,عَارِض,EaAriD,2,Noun
1653,عَاصِف,EaASif,2,"Adjective (1), Noun (1)"
1654,عَالِين,EaAliyn,2,"Adjective (1), Noun (1)"
1655,عَالِيَة,EaAliyap,2,Adjective
1656,عُتُوّ,Eutuw~,2,Noun
1657,عِتِيّ,Eitiy~,2,Noun
1658,عَتِيد,Eatiyd,2,"Adjective (1), Noun (1)"
1659,عَتِيق,Eatiyq,2,Adjective
1660,عِجَاف,EijaAf,2,Adjective
1661,عَجِيب,Eajiyb,2,Adjective
1662,عَدّ,Ead~,2,Noun
1663,عَدْو,Eadow,2,Noun
1664,عُدْوَة,Eudowap,2,Noun
1665,عَذْب,Ea*ob,2,Noun
1666,عُذْر,Eu*or,2,Noun
1667,عَرَآء,EaraA^',2,Noun
1668,عُرْف,Eurof,2,Noun
1669,عُرْوَة,Eurowap,2,Noun
1670,عُسْرَة,Eusorap,2,Noun
1671,عَسِير,Easiyr,2,Adjective
1672,عِشَآء,Ei$aA^',2,Noun
1673,عَشَرَة,Ea$arap,2,Noun
1674,عَصْف,EaSof,2,Noun
1675,عِصِيّ,EiSiy~,2,Noun
1676,عَصِيّ,EaSiy~,2,"Adjective (1), Noun (1)"
1677,عَضُد,EaDud,2,Noun
1678,عَظْم,EaZom,2,Noun
1679,عَفْو,Eafow,2,Noun
1680,عَقَبَة,Eaqabap,2,Noun
1681,عِلِّيِّين,Eil~iy~iyn,2,Noun
1682,عَمّ,Eam~,2,Noun
1683,عُمْرَة,Eumorap,2,Noun
1684,عَمُون,Eamuwn,2,"Adjective (1), Noun (1)"
1685,عَمًى,EamFY,2,Noun
1686,عَنكَبُوت,Eankabuwt,2,Noun
1687,عِهْن,Eihon,2,Noun
1688,عِيشَة,Eiy$ap,2,Noun
1689,غَآئِط,gaA^}iT,2,Noun
1690,غَافِر,gaAfir,2,Noun
1691,غُثَآء,guvaA^',2,Noun
1692,غَدَوٰة,gadaw`p,2,Noun
1693,غُرَاب,guraAb,2,Noun
1694,غُرُوب,guruwb,2,Noun
1695,غَسَّاق,gas~aAq,2,Noun
1696,غِشَٰوَة,gi$a`wap,2,Noun
1697,غَضْبَٰن,gaDoba`n,2,Noun
1698,غِطَآء,giTaA^',2,Noun
1699,غُلْف,gulof,2,Noun
1700,غَوْر,gawor,2,Noun
1701,غَيَٰبَت,gaya`bat,2,Noun
1702,فَالِق,faAliq,2,Noun
1703,فَتَيَٰت,fataya`t,2,Noun
1704,فُرَٰدَىٰ,fura`daY`,2,Noun
1705,فِرَاق,firaAq,2,Noun
1706,فِرْدَوْس,firodawos,2,Proper noun
1707,فَزَع,fazaE,2,Noun
1708,فَعَّال,faE~aAl,2,Noun
1709,فَلَك,falak,2,Noun
1710,قَٰسِطُون,qa`siTuwn,2,Noun
1711,قَبَس,qabas,2,Noun
1712,قَبْضَة,qaboDap,2,Noun
1713,قَبِيل,qabiyl,2,Noun
1714,قُدُّوس,qud~uws,2,Adjective
1715,قِرْطَاس,qiroTaAs,2,Noun
1716,قِسْطَاس,qisoTaAs,2,Noun
1717,قَسَم,qasam,2,Noun
1718,قِطْر,qiTor,2,Noun
1719,قِطَع,qiTaE,2,Noun
1720,قِطْع,qiToE,2,Noun
1721,قُطُوف,quTuwf,2,Noun
1722,قَلَٰٓئِد,qala`^}id,2,Noun
1723,قَيِّمَة,qay~imap,2,"Adjective (1), Noun (1)"
1724,كَٰظِمِين,ka`Zimiyn,2,Noun
1725,كَامِلَة,kaAmilap,2,"Adjective (1), Noun (1)"
1726,كَاهِن,kaAhin,2,Noun
1727,كِبْر,kibor,2,Noun
1728,كِبْرِيَآء,kiboriyaA^',2,Noun
1729,كَثْرَة,kavorap,2,Noun
1730,كِذَّاب,ki*~aAb,2,Noun
1731,كُرْسِيّ,kurosiy~,2,Noun
1732,كُسَالَىٰ,kusaAlaY`,2,Noun
1733,كِسْوَت,kisowat,2,Noun
1734,كَعْبَة,kaEobap,2,Proper noun
1735,كَفَّي,kaf~ay,2,Noun
1736,كَلَٰلَة,kala`lap,2,Noun
1737,كَهْل,kahol,2,Noun
1738,لَّبَن,l~aban,2,Noun
1739,لَدَى,ladaY,2,Location adverb
1740,لَذَّة,la*~ap,2,Adjective
1741,لِزَام,lizaAm,2,Noun
1742,لُّغُوب,l~uguwb,2,Noun
1743,لُقْمَٰن,luqoma`n,2,Proper noun
1744,لَمْح,lamoH,2,Noun
1745,مَآئِدَة,maA^}idap,2,Noun
1746,مَأْجُوج,ma>ojuwj,2,Proper noun
1747,مَّٰكِثِين,m~a`kiviyn,2,Noun
1748,مَٰكِرِين,ma`kiriyn,2,Noun
1749,مَالِـُٔون,maAli_#uwn,2,Noun
1750,مُبْتَلِي,mubotaliy,2,Noun
1751,مَتَاب,mataAb,2,Noun
1752,مُّتَّبَعُون,m~ut~abaEuwn,2,Noun
1753,مُتَتَابِعَيْن,mutataAbiEayon,2,Adjective
1754,مُتَصَدِّقِين,mutaSad~iqiyn,2,Noun
1755,مُّتَعَمِّد,m~utaEam~id,2,Noun
1756,مَّثَانِى,m~avaAniY,2,Noun
1757,مُّثْقَلُون,m~uvoqaluwn,2,Noun
1758,مَثُوبَة,mavuwbap,2,Noun
1759,مَجْمَع,majomaE,2,Noun
1760,مَّجْمُوع,m~ajomuwE,2,Noun
1761,مُّجِيب,m~ujiyb,2,Noun
1762,مَّحْجُور,m~aHojuwr,2,Noun
1763,مُحْدَث,muHodav,2,Noun
1764,مُّحْصِنِين,m~uHoSiniyn,2,Noun
1765,مَّحْفُوظ,m~aHofuwZ,2,"Noun (1), Adjective (1)"
1766,مُحْى,muHoY,2,Noun
1767,مَّحْيَا,m~aHoyaA,2,Noun
1768,مُحِيطَة,muHiyTap,2,Noun
1769,مُّخَلَّدُون,m~uxal~aduwn,2,"Noun (1), Adjective (1)"
1770,مُخَلَّقَة,muxal~aqap,2,Noun
1771,مَخْمَصَة,maxomaSap,2,Noun
1772,مَدّ,mad~,2,Noun
1773,مَدِينِين,madiyniyn,2,Noun
1774,مُرْتَفَق,murotafaq,2,Noun
1775,مَرْجَان,marojaAn,2,Noun
1776,مَرَح,maraH,2,Noun
