,lemma,buckwalter,frequency,part_of_speech
41,لَو,law,200,"Conditional particle (184), Subordinating conjunction (16)"
42,بَعْد,baEod,199,"Noun (133), Time adverb (66)"
43,عِند,Eind,197,"Location adverb (160), Noun (37)"
44,خَيْر,xayor,178,"Noun (148), Adjective (30)"
45,سَبِيل,sabiyl,176,Noun
46,أَمْر,>amor,166,Noun
47,عَلِيم,Ealiym,163,"Adjective (101), Noun (62)"
48,مَع,maE,159,Location adverb
49,بَعْض,baEoD,157,Noun
50,لَمَّا,lam~aA,156,Time adverb
51,آخِر,A^xir,155,"Noun (133), Adjective (21), Time adverb (1)"
52,أَيُّهَا,>ay~uhaA,153,Noun
53,إِلَٰه,<ila`h,147,Noun
54,جَنَّة,jan~ap,147,"Noun (96), Proper noun (51)"
55,غَيْر,gayor,147,"Noun (144), Adjective (3)"
56,نَار,naAr,145,Noun
57,دُون,duwn,144,"Noun (135), Location adverb (9)"
58,حَتَّىٰ,Hat~aY`,142,"Preposition (95), Inceptive particle (47)"
59,أَم,>am,137,Coordinating conjunction
60,مُوسَىٰ,muwsaY`,136,Proper noun
61,قَلْب,qalob,132,Noun
62,عَبْد,Eabod,131,Noun
63,ظَالِم,ZaAlim,129,"Noun (105), Adjective (24)"
64,كَٰفِرُون,ka`firuwn,129,"Noun (119), Adjective (10)"
65,أَهْل,>ahol,127,Noun
66,بَل,bal,127,"Retraction particle (122), Inceptive particle (4), Coordinating conjunction (1)"
67,لَعَلّ,laEal~,123,Accusative particle
68,عَظِيم,EaZiym,120,"Adjective (104), Noun (16)"
69,يَد,yad,120,Noun
70,مُّبِين,m~ubiyn,119,"Noun (72), Adjective (47)"
